size,lo,hi,algorithm,run1_ms,run2_ms,run3_ms,mean_ms,sorted
1000,-10,10,Quicksort,0.264,0.280,0.287,0.277,1
1000,-1000,1000,Quicksort,0.128,0.123,0.120,0.124,1
1000,-100000,100000,Quicksort,0.134,0.125,0.119,0.126,1
10000,-10,10,Quicksort,16.305,16.057,15.797,16.053,1
10000,-1000,1000,Quicksort,1.965,1.788,1.688,1.814,1
10000,-100000,100000,Quicksort,1.544,1.572,1.496,1.537,1
100000,-10,10,Quicksort,1392.488,1402.131,1399.572,1398.064,1
100000,-1000,1000,Quicksort,32.681,32.471,34.614,33.256,1
100000,-100000,100000,Quicksort,19.381,19.362,19.322,19.355,1
