size,lo,hi,run1_ms,run2_ms,run3_ms,mean_ms,sorted
10000,-10,10,1.959,2.202,2.363,2.175,1
10000,-1000,1000,2.422,2.580,2.806,2.603,1
10000,-100000,100000,2.615,2.668,2.321,2.535,1
100000,-10,10,24.802,24.806,25.733,25.114,1
100000,-1000,1000,30.852,31.759,33.198,31.936,1
100000,-100000,100000,31.715,32.395,31.310,31.807,1
1000000,-10,10,289.760,282.166,283.089,285.005,1
1000000,-1000,1000,368.245,371.780,363.659,367.895,1
1000000,-100000,100000,394.108,397.501,392.460,394.689,1
